"Date","Steps","Distance (km)","Elevation (m)","Calories"
"2015-07-26","6554","5.83","0","557"
"2015-07-25","26891","25.55","0","2456"
"2015-07-24","16692","13.34","0","1175"
"2015-07-23","6230","5.06","0","443"
"2015-07-22","13900","13.01","0","1311"
"2015-07-21","7814","6.87","0","751"
"2015-07-20","9498","8.60","0","854"
"2015-07-19","6647","5.53","0","504"
"2015-07-18","4928","3.73","0","427"
"2015-07-17","9698","8.18","0","791"
"2015-07-16","12544","10.30","0","879"
"2015-07-15","9114","8.64","0","790"
"2015-07-14","10188","9.97","0","863"
"2015-07-13","10072","9.25","0","991"
"2015-07-12","7523","6.58","0","696"
"2015-07-11","1231","0.92","0","139"
"2015-07-10","5163","4.00","0","475"
"2015-07-09","10393","7.87","0","882"
"2015-07-08","11845","9.35","0","910"
"2015-07-07","8600","6.80","0","674"
"2015-07-06","6677","5.09","0","689"
"2015-07-05","8295","6.62","0","635"
"2015-07-04","9409","7.50","0","734"
"2015-07-03","10047","8.02","0","760"
"2015-07-02","8267","6.51","0","665"
"2015-07-01","10622","8.64","0","883"
"2015-06-30","5373","4.24","0","461"
"2015-06-29","25767","20.87","0","2014"
"2015-06-28","8393","6.66","0","681"
"2015-06-27","9709","7.60","0","709"
"2015-06-26","8142","6.79","0","658"
"2015-06-25","11294","9.63","0","827"
"2015-06-24","10528","8.71","0","753"
"2015-06-23","9147","7.55","0","652"
"2015-06-22","10134","8.52","0","778"
"2015-06-21","4040","3.46","0","288"
"2015-06-20","10603","8.89","0","812"
"2015-06-19","12932","11.18","0","932"
"2015-06-18","11374","10.03","0","858"
"2015-06-17","14136","12.62","0","1025"
"2015-06-16","12298","10.27","0","927"
"2015-06-15","9760","7.45","0","820"
"2015-06-14","3560","2.73","0","327"
"2015-06-13","10022","8.33","0","1027"
"2015-06-12","21983","18.31","0","1539"
"2015-06-11","34229","27.10","0","2323"
"2015-06-10","7683","6.27","0","775"
"2015-06-09","5803","4.76","0","826"
"2015-06-08","10980","10.19","0","999"
"2015-06-07","5157","4.53","0","437"
"2015-06-06","2098","1.56","0","201"
"2015-06-05","6728","5.65","0","690"
"2015-06-04","8300","6.45","0","883"
"2015-06-03","3361","2.59","0","340"
"2015-06-02","2513","2.01","0","203"
"2015-06-01","5656","4.50","0","475"
"2015-05-31","4206","3.19","0","435"
"2015-05-30","3066","2.31","0","286"
"2015-05-29","7736","6.27","0","608"
"2015-05-28","6213","4.85","0","525"
"2015-05-27","10301","7.87","0","1292"
"2015-05-26","10320","8.01","0","1189"
"2015-05-25","5429","4.08","0","524"
"2015-05-24","4555","4.09","0","624"
"2015-05-23","4360","3.33","0","600"
"2015-05-22","4498","3.37","0","593"
"2015-05-21","7572","5.98","0","668"
"2015-05-20","8391","6.55","0","818"
"2015-05-19","4682","3.70","0","351"
"2015-05-18","3753","2.96","0","310"
"2015-05-17","8211","6.54","0","710"
"2015-05-16","4103","3.07","0","389"
"2015-05-15","339","0.25","0","36"
"2015-05-14","2467","1.87","0","242"
"2015-05-13","5528","4.33","0","442"
"2015-05-12","6757","5.51","0","494"
"2015-05-11","4264","3.38","0","341"
"2015-05-10","4712","3.70","0","438"
"2015-05-09","18770","14.75","0","1430"
"2015-05-08","8770","7.15","0","670"
"2015-05-07","5394","4.12","0","755"
"2015-05-06","5595","4.38","0","428"
"2015-05-05","5492","4.35","0","616"
"2015-05-04","8258","6.49","0","723"
"2015-05-03","10081","8.13","0","759"
"2015-05-02","8381","6.63","0","683"
"2015-05-01","7136","5.61","0","524"
"2015-04-30","4463","3.49","0","406"
"2015-04-29","7833","6.11","0","834"
"2015-04-28","4038","3.18","0","476"
"2015-04-27","3726","2.93","0","281"
"2015-04-26","4925","3.92","0","347"
"2015-04-25","8410","6.77","0","637"
"2015-04-24","2662","2.07","0","379"
"2015-04-23","8362","7.06","0","758"
"2015-04-22","5436","4.55","0","464"
"2015-04-21","5728","4.73","0","635"
"2015-04-20","7074","5.73","0","857"
"2015-04-19","10590","8.62","0","776"
"2015-04-18","11640","9.16","0","861"
"2015-04-17","5581","4.39","0","432"
"2015-04-16","2970","2.33","0","246"
"2015-04-15","5301","4.22","0","617"
"2015-04-14","7853","6.12","0","596"
"2015-04-13","12277","10.42","0","1184"
"2015-04-12","16594","13.62","0","1291"
"2015-04-11","25854","21.63","0","1865"
"2015-04-10","5087","3.97","0","413"
"2015-04-09","9198","7.33","0","674"
"2015-04-08","6884","5.32","0","525"
"2015-04-07","3096","2.42","0","266"
"2015-04-06","6414","5.70","0","567"
"2015-04-05","1448","1.08","0","162"
"2015-04-04","1893","1.43","0","198"
"2015-04-03","6549","5.24","0","562"
"2015-04-02","1610","1.20","0","174"
"2015-04-01","4781","3.61","0","663"
"2015-03-31","7802","6.70","0","702"
"2015-03-30","9870","8.42","0","714"
"2015-03-29","2543","1.90","0","233"
"2015-03-28","3637","2.87","0","263"
"2015-03-27","5545","4.29","0","444"
"2015-03-26","8379","6.62","0","630"
"2015-03-25","5721","4.61","0","482"
"2015-03-24","3536","2.74","0","293"
"2015-03-23","4890","3.87","0","423"
"2015-03-22","1115","0.84","0","124"
"2015-03-21","4508","3.57","0","354"
"2015-03-20","7253","5.77","0","588"
"2015-03-19","5283","4.24","0","428"
"2015-03-18","2793","2.11","0","269"
"2015-03-17","5256","4.16","0","399"
"2015-03-16","4588","3.60","0","499"
"2015-03-15","9573","7.48","0","652"
"2015-03-14","10032","8.04","0","682"
"2015-03-13","9877","7.93","0","670"
"2015-03-12","4328","3.46","0","462"
"2015-03-11","6582","5.24","0","565"
"2015-03-10","4897","3.80","0","380"
"2015-03-09","2563","2.01","0","216"
"2015-03-08","5487","4.49","0","464"
"2015-03-07","10098","7.83","0","1086"
"2015-03-06","9893","7.79","0","852"
"2015-03-05","6318","5.23","0","449"
"2015-03-04","10058","8.43","0","866"
"2015-03-03","5740","4.63","0","515"
"2015-03-02","4313","3.51","0","346"
"2015-03-01","3768","3.09","0","374"
"2015-02-28","5770","4.73","0","448"
"2015-02-27","5414","4.35","0","430"
"2015-02-26","5339","4.24","0","564"
"2015-02-25","7060","5.49","0","657"
"2015-02-24","3661","2.88","0","313"
"2015-02-23","3445","2.79","0","304"
"2015-02-22","627","0.47","0","145"
"2015-02-21","10312","8.90","0","919"
"2015-02-20","4974","4.15","0","451"
"2015-02-19","3276","2.69","0","299"
"2015-02-18","3886","3.21","0","364"
"2015-02-17","6428","5.34","0","501"
"2015-02-16","5534","4.45","0","469"
"2015-02-15","14391","12.10","0","1018"
"2015-02-14","17790","15.09","0","1296"
"2015-02-13","6682","5.08","0","567"
"2015-02-12","4084","3.22","0","372"
"2015-02-11","4315","3.35","0","356"
"2015-02-10","7327","6.32","0","548"
"2015-02-09","5897","4.65","0","492"
"2015-02-08","2860","2.13","0","275"
"2015-02-07","8052","6.53","0","632"
"2015-02-06","4098","3.43","0","354"
"2015-02-05","6089","5.27","0","464"
"2015-02-04","7244","6.09","0","588"
"2015-02-03","5878","4.69","0","457"
"2015-02-02","5280","4.14","0","442"
"2015-02-01","5291","3.98","0","584"
"2015-01-31","4653","3.47","0","475"
"2015-01-30","7073","5.68","0","596"
"2015-01-29","8627","7.24","0","771"
"2015-01-28","4871","4.09","0","393"
"2015-01-27","5887","4.79","0","480"
"2015-01-26","6236","5.20","0","572"
"2015-01-25","6938","5.38","0","639"
"2015-01-24","12921","10.10","0","1038"
"2015-01-23","9757","8.63","0","770"
"2015-01-22","9376","8.51","0","750"
"2015-01-21","6560","5.45","0","550"
